Ntime,Open_us,High_us,Low_us,ClosePrice,AdjClose,Volume_us,Date,Close_cn,Open_cn,High_cn,Low_cn,Volume_cn,Fluctuation
20051021,1195.76001,1197.300049,1173.300049,1177.800049,1177.800049,2617250000,20051021,904.41,899.64,907.79,897.99,11370,0.005
20051025,1179.589966,1199.390015,1179.589966,1199.380005,1199.380005,2197790000,20051025,894.27,905.97,905.97,893.61,11210,-0.0137
20051026,1199.380005,1201.300049,1189.290039,1196.540039,1196.540039,2312470000,20051026,875.82,892.62,892.62,873.89,12170,-0.0206
20051027,1196.540039,1204.01001,1191.380005,1191.380005,1191.380005,2467750000,20051027,875.85,873.47,879.67,869.72,11910,0
20051028,1191.380005,1192.650024,1178.890015,1178.900024,1178.900024,2395370000,20051028,867.73,875.86,880.21,859.69,11970,-0.0093
20051102,1207.01001,1207.339966,1201.660034,1202.76001,1202.76001,2457850000,20051102,882.48,873.39,884.94,873.39,13110,0.011
20051103,1202.76001,1215.170044,1201.069946,1214.76001,1214.76001,2648090000,20051103,874.58,882.19,885.68,872.11,12180,-0.009
20051104,1214.76001,1224.699951,1214.76001,1219.939941,1219.939941,2716630000,20051104,878.36,873.35,878.36,869.68,9570,0.0043
20051108,1220.140015,1224.180054,1217.290039,1222.810059,1222.810059,1987580000,20051108,881.52,876.43,881.89,870.96,10130,0.0048
20051109,1222.810059,1222.810059,1216.079956,1218.589966,1218.589966,1965050000,20051109,879.25,881.51,884.94,878.68,11770,-0.0026
20051110,1218.589966,1226.589966,1216.530029,1220.650024,1220.650024,2214460000,20051110,862.97,878.62,878.62,862.09,10850,-0.0185
20051111,1220.650024,1232.410034,1215.050049,1230.959961,1230.959961,2378460000,20051111,864.79,861.22,867.33,857.79,9220,0.0021
20051115,1234.719971,1237.199951,1231.780029,1233.76001,1233.76001,1899780000,20051115,856.63,862.07,867.46,853.86,8250,-0.0064
20051116,1233.76001,1237.939941,1226.410034,1229.01001,1229.01001,2359370000,20051116,863.12,855.45,863.17,847.49,9070,0.0076
20051117,1229.01001,1232.23999,1227.180054,1231.209961,1231.209961,2121580000,20051117,862.66,863.08,865.79,859,8810,-0.0005
20051118,1231.209961,1242.959961,1231.209961,1242.800049,1242.800049,2298040000,20051118,882.24,862.58,886.58,862.4,17600,0.0227
20051122,1248.27002,1255.890015,1246.900024,1254.849976,1254.849976,2117350000,20051122,869.62,883.93,883.93,869.53,10600,-0.0161
20051123,1254.849976,1261.900024,1251.400024,1261.22998,1261.22998,2291420000,20051123,876.23,868,876.82,866.19,9920,0.0076
20051124,1261.22998,1270.640015,1259.51001,1265.609985,1265.609985,1985400000,20051124,881.49,875.83,885.75,874.88,14630,0.006
20051129,1268.25,1268.439941,1257.170044,1257.459961,1257.459961,2016900000,20051129,871.31,879.25,879.25,870.56,8420,-0.0101
20051130,1257.459961,1266.180054,1257.459961,1257.47998,1257.47998,2268340000,20051130,873.83,870.45,873.93,866.98,8040,0.0029
20051202,1249.47998,1266.170044,1249.47998,1264.670044,1264.670044,2614830000,20051202,869.94,872.93,875.83,866.37,8490,-0.0036
20051206,1265.079956,1265.079956,1258.119995,1262.089966,1262.089966,2325840000,20051206,866.08,858.11,867.19,855.72,10300,0.0075
20051207,1262.089966,1272.890015,1262.089966,1263.699951,1263.699951,2110740000,20051207,873.84,865.72,874,865.02,9840,0.009
20051208,1263.699951,1264.849976,1253.02002,1257.369995,1257.369995,2093830000,20051208,874.06,874.13,877.97,870.12,10260,0.0003
20051209,1257.369995,1263.359985,1250.910034,1255.839966,1255.839966,2178300000,20051209,887.36,873.69,887.57,871.26,12720,0.0152
20051213,1259.369995,1263.859985,1255.52002,1260.430054,1260.430054,1876550000,20051213,889.1,888,889.22,880.74,10550,0.0007
20051214,1260.430054,1272.109985,1258.560059,1267.430054,1267.430054,2390020000,20051214,898.15,888.6,899.01,884.37,13870,0.0102
20051215,1267.430054,1275.800049,1267.069946,1272.73999,1272.73999,2145520000,20051215,896.43,898.38,904.01,895.17,16260,-0.0019
20051216,1272.73999,1275.170044,1267.73999,1270.939941,1270.939941,2180590000,20051216,902.56,895.83,902.75,894.1,11450,0.0068
20051220,1267.319946,1270.51001,1259.280029,1259.920044,1259.920044,2208810000,20051220,907.32,902.75,907.32,899.66,10300,0.0049
20051221,1259.920044,1263.859985,1257.209961,1259.619995,1259.619995,1996690000,20051221,903.14,907.05,910.93,902.11,10270,-0.0046
20051222,1259.619995,1269.369995,1259.619995,1262.790039,1262.790039,2065170000,20051222,908.75,902.37,909.06,900.66,8950,0.0062
20051223,1262.790039,1268.189941,1262.5,1268.119995,1268.119995,1888500000,20051223,915.89,908.96,915.89,908.51,11910,0.0079
20051228,1268.660034,1271.829956,1256.540039,1256.540039,1256.540039,1540470000,20051228,920.92,919.05,920.98,915.12,12130,0.0017
20051229,1256.540039,1261.099976,1256.540039,1258.170044,1258.170044,1422360000,20051229,932.03,921.14,932.03,921.14,17260,0.0121
20051230,1258.170044,1260.609985,1254.180054,1254.420044,1254.420044,1382540000,20051230,923.45,933.45,934,921.83,15600,-0.0092
20060104,1248.290039,1270.219971,1245.73999,1268.800049,1268.800049,2554570000,20060104,941.43,926.56,941.43,926.41,21130,0.0195
20060105,1268.800049,1275.369995,1267.73999,1273.459961,1273.459961,2515330000,20060105,959.13,943.85,959.62,942.31,27310,0.0188
20060106,1273.459961,1276.910034,1270.300049,1273.47998,1273.47998,2433340000,20060106,970.03,961.91,975.63,956.04,30290,0.0114
20060110,1285.449951,1290.780029,1284.819946,1290.150024,1290.150024,2301490000,20060110,978.15,975.28,978.28,964.43,22740,0.003
20060111,1290.150024,1290.150024,1283.76001,1289.689941,1289.689941,2373080000,20060111,973.48,977.64,983.39,963.39,26520,-0.0048
20060112,1289.719971,1294.900024,1288.119995,1294.180054,1294.180054,2406130000,20060112,983.72,972.39,984.08,968.54,21900,0.0105
20060113,1294.180054,1294.180054,1285.040039,1286.060059,1286.060059,2318350000,20060113,978.81,985.04,988.11,973.68,22280,-0.005
20060118,1287.609985,1287.609985,1278.609985,1282.930054,1282.930054,2179970000,20060118,983.62,964.16,984.67,963.08,20820,0.02
20060119,1282.930054,1282.930054,1272.079956,1277.930054,1277.930054,2233200000,20060119,991.22,985.23,992.27,978.28,26460,0.0077
20060120,1277.930054,1287.790039,1277.930054,1285.040039,1285.040039,2444020000,20060120,993.34,991.57,994.5,987.06,26150,0.0021
20060124,1261.48999,1268.189941,1261.48999,1263.819946,1263.819946,2256070000,20060124,999.09,997.79,1006.15,993.39,24200,0.0029
20060125,1263.819946,1271.469971,1263.819946,1266.859985,1266.859985,2608720000,20060125,1009.6,998.83,1009.65,989.51,21800,0.0105
20060207,1264.030029,1267.040039,1261.619995,1265.02002,1265.02002,2132360000,20060207,1029.94,1034.68,1038.5,1019.94,32960,-0.0032
20060208,1265.02002,1265.780029,1253.609985,1254.780029,1254.780029,2366370000,20060208,1033.07,1028.44,1033.4,1022.94,26990,0.003
20060209,1254.780029,1266.469971,1254.780029,1265.650024,1265.650024,2456860000,20060209,1019.6,1033.19,1033.19,1017.05,23840,-0.013
20060210,1265.650024,1274.560059,1262.800049,1263.780029,1263.780029,2441920000,20060210,1032.34,1019.42,1032.6,1018.48,22020,0.0125
20060214,1266.98999,1266.98999,1258.339966,1262.859985,1262.859985,1850080000,20060214,1038.53,1032.64,1038.81,1030.46,18560,0.0067
20060215,1262.859985,1278.209961,1260.800049,1275.530029,1275.530029,2437940000,20060215,1041.66,1040.33,1048.34,1038.74,24790,0.003
20060216,1275.530029,1281,1271.060059,1280,1280,2317590000,20060216,1020.12,1041.66,1041.66,1019.21,26160,-0.0207
20060217,1280,1289.390015,1280,1289.380005,1289.380005,2251490000,20060217,1020.37,1020.06,1028.57,1015.99,21030,0.0002
